"","dance","create_design","perform_entertain","customize","music","battle","smart_clever_wit","move_special_move","rhythm","aim","spin_rotate","jump","travel","exercise_fitness","compete","challenge"
"943427",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944203",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"944440",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944653",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"945047",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"945122",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"945850",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945855",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"946161",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"946368",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946371",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946372",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950900",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"950924",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"952602",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"952846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"954408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
