"","mystery","the_earth","planet","disease_pandemic_virus","soldier","battle","melee","hero","spaceship","enemy","weapon","armor","alien","fight","special_powers","puzzle","castle","discover_reveal"
"937288",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"937723",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
