"","future","invasion","change_transform_evolve","travel","mystery","family","home","alliance","journey","ghost","girl_woman","decide_choose","special_powers","global_international_around_the_world","challenge","explore","wilderness_nature","music","discover_reveal"
"672897",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"673021",0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"737345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
