"","level_stage","licensed_content_video_games","puzzle","hero","the_earth","human_race_mankind","destroy_devastate_wreck","story","fast","action","horde_wave_mass","dangerous","magic","enemy","team_group_crew_squad","mystery"
"614978",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620509",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"621209",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"627224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627553",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"634344",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"640857",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"954843",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"997372",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"997471",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"998090",0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"998304",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
