"","tournament_competition","enemy","multiplayer","move_special_move","online","realistic_accurate","licensed_content_video_games","compete","team_group_crew_squad","fast","destroy_devastate_wreck","action","battle","fight","defeat","defend","strategy_tactics","attack","shoot"
"942777",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949453",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"954506",1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"954991",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"955249",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"955340",0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"958446",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"958531",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"958702",0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"958704",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"959011",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"959013",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"959188",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"959291",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"959972",1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
"960344",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"960358",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960428",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"960558",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"960821",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"972664",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"976860",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"991145",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
