"","adventure","quest","level_stage","myth_legend","search","mystery","treasure","puzzle","boat","solve","explore","trap","x3d","licensed_content_video_games","platform","classic","rescue","enemy","fight","dangerous","threat","travel","the_earth","wild_land_animal","underwater_animal","wilderness_nature","animal","arctic_frozen_icy","survive"
"938681",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939484",0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"941832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
