"","move_special_move","solve","race","compete","fight","destroy_devastate_wreck","shoot","team_group_crew_squad","defeat","battle","mission","defend","collect_gather","attack","strategy_tactics","rescue","fast"
"933907",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939214",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943048",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944510",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944714",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"944951",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"945632",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"946131",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"946237",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"946299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946407",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"946790",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"947988",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"949620",0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
"950962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
