"","american_football","licensed_tournament","ball","aim","throw","athlete","celebrity_star_idol","realistic_accurate","movie_film","attack","licensed_content_video_games","elite_the_best","basketball","contest_match","simulation","franchise_team","music","home","train_practice","basketball_court","mini_game","sponsors","coach","team_group_crew_squad","tournament_competition","online","compete","multiplayer","strategy_tactics","soccer_pitch","global_international_around_the_world","famous","skill_technique","formation","soccer","defend","conquer","manage","shot_sports","exercise_fitness","decide_choose","hockey"
"927449",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928263",0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928333",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"928412",0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"928463",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
