"","ghost","hero","domesticated_land_animal","mentor","brave_courage","tournament_competition","survive","robot","kill","the_earth","technology","contest_match","mutant","dark_black_grim","level_stage","physics","fall","gravity","puzzle","jump","cooperate","fix_repair","light_illuminate","dark_no_light","detective_sleuth","wall","family","bar_saloon","magic","history","dream","kids","girl_woman","adventure","jazz_music_genre","friend","circus","outer_space","freedom_liberty","restore","journey","epic","explode_blast","desert","wield","sword"
"690817",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"723514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
