"","playing_cards","dangerous","story","enemy","deception_trickery","monk_priest_devotee","soldier","turn_alternate","warrior","ghost","magic","eccentric","skeleton_skull","scary_terrifying_horror","samurai","heaven","animal","lush"
"708479",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"998291",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
