"","the_earth","army","enemy","story","licensed_content_video_games","war","human_race_mankind","dangerous","mission","hero","destroy_devastate_wreck","magic","weapon","city","mystery","puzzle","licensed_content_cultural_products","action","epic","realistic_accurate","defend"
"605975",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605993",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633400",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"636040",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"643006",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"651559",0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"652988",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"655774",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"664240",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"669884",0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
"691870",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"943495",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997846",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"998171",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
