"","team_group_crew_squad","bike_motorbike","stunt","fight","race","contest_match","hero","career","jump","racetrack","drive","licensed_tournament","ride","tournament_competition","licensed","destination_finish_line","multiplayer","destroy_devastate_wreck","athlete","online","car","impress","crowd_audience_spectators","debris","social","singleplayer","off_road","strategy_tactics","explode_blast","obstacle","arcade","enemy","chase_pursue","block_obstruction","survive","frantic","small_mini","train_railroads","vehicle","fast","hunt","top_down_perspective","table_playing_area","chaos","spin_rotate","farming","fire_flame","combat","shortcut","avoid","bomb","hammer","food","powerup_pickup","classic","crazy_wacky","compete","rail","dinosaur","kitchen","gun"
"739660",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799987",0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872798",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"887306",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
