"","playing_cards","licensed_content_video_games","classic","shot_sports","enemy","multiplayer","board_game","place_position","clear_away","online","singleplayer","block_cube_brick","points","own_possess","bet_gamble","avoid","friend"
"930845",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"930855",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
"930859",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
