"","team_group_crew_squad","fight","race","hero","tournament_competition","destroy_devastate_wreck","strategy_tactics","enemy","fast","combat","compete"
"739660",1,1,1,1,1,0,0,0,0,0,0
"799987",0,0,1,0,0,1,0,0,0,0,0
"872798",1,0,1,0,0,0,1,1,0,0,0
"887306",0,0,0,0,0,0,0,1,1,1,1
