"","quest","level_stage","myth_legend","search","mystery","treasure","boat","solve","explore","trap","classic","rescue","enemy","puzzle"
"938681",1,1,1,1,1,1,1,1,1,0,0,0,0,0
"939484",0,0,0,0,0,0,0,0,0,1,1,1,1,1
