"","reading","teaching","explore","help_support","adventure","time_travel","change_transform_evolve","rescue","chase_pursue","find","discover_reveal","battle","search","interview_interrogate"
"622897",1,1,1,1,0,0,0,0,0,0,0,0,0,0
"640910",0,0,0,0,1,1,1,1,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,1,1,1,1,1,1
