"","licensed_content_video_games","attack","fight","strategy_tactics","realistic_accurate","team_group_crew_squad","multiplayer","singleplayer","tournament_competition","battle","enemy","online","defend","shoot","move_special_move","compete"
"927448",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928311",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"930953",1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"932164",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"932196",1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"932867",1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"932932",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"933142",0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
"933693",1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1
"933709",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"935088",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"935290",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
