"","human_race_mankind","army","weapon","team_group_crew_squad","war","dangerous","story","enemy","attack","epic","hero","fast","level_stage","action","realistic_accurate","city","licensed_content_cultural_products","licensed_content_video_games","puzzle","horde_wave_mass"
"632881",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"672904",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"682508",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"685555",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"704788",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"705817",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"706592",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"715250",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"721821",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"730861",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"735127",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"739447",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
