"","adventure","level_stage","mystery","puzzle","solve","explore","licensed_content_video_games","rescue","enemy","fight","dangerous","the_earth"
"938681",1,1,1,1,1,1,0,0,0,0,0,0
"939484",0,0,0,1,0,0,1,1,1,0,0,0
"941832",0,0,0,0,0,0,0,0,0,1,1,1
