"","role_playing","monster","power_control_rule","story","fight","strategy_tactics","god_deity","rescue","special_powers","demon_devil","kingdom","empire","rebel","time","the_earth","conspiracy","japan","equipment","destiny","chaos","crazy_wacky","machine","mystery","family","hero","navigate"
"620232",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"657807",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
"826388",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
