"","escape","hit_strike_blow","explode_blast","avoid","kill","battle","fight","destroy_devastate_wreck","smash","find","climb","build_construct"
"929921",1,1,1,1,1,1,1,1,0,0,0,0
"936124",0,0,0,0,0,0,0,0,1,1,1,1
