"","future","invasion","clan","change_transform_evolve","travel","mystery","family","stranger_outsider","eliminate","home","alliance","reunite","exile_banish","journey","prison","ghost","girl_woman","psychic","invisible","emotion","decide_choose","special_powers","global_international_around_the_world","challenge","explore","wilderness_nature","free_roaming","music","discover_reveal"
"672897",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673021",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"737345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
