"","american_football","ball","aim","throw","athlete","celebrity_star_idol","realistic_accurate","movie_film","attack","elite_the_best","basketball","contest_match","music","home","train_practice","mini_game","coach","team_group_crew_squad","tournament_competition","compete","strategy_tactics","global_international_around_the_world","famous","skill_technique","soccer","defend","conquer","manage","shot_sports","exercise_fitness","decide_choose"
"927449",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928263",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"928333",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"928412",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"928463",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1
