"","destroy_devastate_wreck","mission","fight","combat","shoot","battle","fast","attack","strategy_tactics","collect_gather","move_special_move","defend","adventure","rescue"
"648086",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"650533",0,1,1,1,1,0,0,0,0,0,0,0,0,0
"681609",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"718285",0,0,0,1,0,1,1,0,0,0,0,0,0,0
"718642",0,0,1,1,0,0,0,1,1,0,0,0,0,0
"719941",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"729319",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"737343",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"769544",0,1,0,0,0,1,0,0,0,1,0,0,0,0
"783734",0,0,1,0,1,0,0,0,0,0,1,1,1,0
"814526",0,0,0,0,0,0,0,0,0,0,0,0,1,1
