"","marriage","sea_ocean","reverse","kingdom","special_powers","history","lush","assassin","soul","knight","princess","time_travel","mystery","party_celebrate","island","learn","family","lost_missing","journey","girl_woman","doctor_medic","laboratory","find","alone","remote_isolated_undiscovered","adventure","friend","alternate_dimension_reality","quest","recent_history_1950s-1990s","defend","cpu_computer","villain","battle","combat","move_special_move","enemy","boat","hero","rocks_stones","demon_devil","defeat","arctic_frozen_icy","pirate","threat","attack","horde_wave_mass","action","epic","monster","destroy_devastate_wreck","death","story","role_playing","care_for_raise","travel","cartoon","creature","fight"
"657979",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"665780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"681786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"998014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
