"","work_job","territory","gang_criminal_organization_mafia","strategy_tactics","command_lead","recruit","combat","conquer","criminal","history","stranger_outsider","turn_alternate","empire","ride","domesticated_land_animal","knight","stick_club","explode_blast","destroy_devastate_wreck","shoot","castle","defeat","flag","medieval","bird","weapon","ground_on_land","sword","defend","bomb","attack","magic","artillery_cannon","fly","horde_wave_mass","enemy","missile","capture"
"671116",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672368",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
