"","night","london","evidence","police","stealth","innocent","suspect","case_matter_to_investigate","licensed_content_cultural_products","corrupt","city","steal_theft","famous","kill","doctor_medic","history","detective_sleuth","instinct","evil","machine","friend","destroy_devastate_wreck","emotion","reptile","hunger","change_transform_evolve","good","monster","boy_man","toxic_poison","food","car","challenge","time","wild_land_animal","europe","show_entertainment","team_group_crew_squad","home","all_ages","circus","united_states","classic","fairy","myth_legend","easter_bunny","action","kids","nightmare","guardian","arsenal","ghost","santa_claus"
"622370",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632677",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652585",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659951",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"659955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
