"","police","race","traffic","city","road","shortcut","vehicle","famous","ban_blacklist","destroy_devastate_wreck","racetrack","global_international_around_the_world","career","licensed","car"
"927143",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"927245",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
