"","hero","horde_wave_mass","action","story","enemy","weapon","magic","puzzle","mystery","war","licensed_content_video_games","evil","city","destroy_devastate_wreck","level_stage","fast","army","licensed_content_cultural_products","epic"
"605452",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605803",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606312",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"610924",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"617221",0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"618630",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"624508",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"629692",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"630113",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"631680",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"960829",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974870",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"991492",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
"997430",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
