"","multiplayer","realistic_accurate","online","move_special_move","fight","fast","dangerous","story","licensed_content_video_games","team_group_crew_squad","action","combat","race","compete","tournament_competition","level_stage","strategy_tactics","attack"
"606290",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"615810",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"632147",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"632378",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"639691",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"645152",0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"652995",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"663204",0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"672341",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"676300",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"679855",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
