"","free_roaming","x3d","trick","virtual_reality","pet_animal","bubble","communication","realistic_accurate","kids","home","all_ages","stable","domesticated_land_animal","criminal","story","evil","city","villain","girl_woman","boy_man","playground","puzzle","alone","cute","wild_land_animal","remote_isolated_undiscovered","friend","challenge","baby","island"
"610892",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626625",0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632708",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"639173",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
