"","move_special_move","collect_gather","realistic_accurate","licensed_content_video_games","solve","story","evil","city","explore","puzzle","adventure"
"610892",1,1,0,0,0,0,0,0,0,0,0
"626625",0,0,1,1,0,0,0,0,0,0,0
"632708",1,0,0,1,1,1,1,1,1,1,0
"639173",0,0,0,1,1,0,0,0,0,1,1
