"","strategy_tactics","combat","destroy_devastate_wreck","shoot","defeat","weapon","defend","attack","magic","horde_wave_mass","enemy"
"671116",1,1,0,0,0,0,0,0,0,0,0
"672368",0,0,1,1,1,1,1,1,1,1,1
