"","enemy","battle","war","technology","primitive","pilot","tank","country_nation","conquer","weapon","future","army","team_group_crew_squad","drive","vehicle","hostile_aggressive","aerial","attack","defeat","kill","revenge","race","chaos","tournament_competition","destroy_devastate_wreck","apocalypse","global_international_around_the_world","confront","prize_trophy","insane_deranged","villain","combat","strategy_tactics","explode_blast","fight","wish","evil","power_control_rule","faction_coalition"
"606289",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624142",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"984946",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"997850",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
