"","licensed_content_cultural_products","enemy","shoot","story","fast","city","team_group_crew_squad","realistic_accurate","dangerous","action","tournament_competition","race","destroy_devastate_wreck","puzzle","weapon","magic"
"932153",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"952495",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"954510",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"955135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"955477",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"955677",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"955761",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"958377",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"958818",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"958864",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"959411",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"960499",1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"961244",0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"961700",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"968929",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"978017",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"981382",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
