"","race","realistic_accurate","mystery","fast","compete","defeat","enemy","tournament_competition","evil","dangerous","battle","destroy_devastate_wreck","city","action"
"604291",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"605586",1,0,1,1,1,0,0,0,0,0,0,0,0,0
"605593",1,0,0,1,1,1,1,1,0,0,0,0,0,0
"605961",1,1,0,0,1,0,0,0,0,0,0,0,0,0
"614995",1,0,0,0,0,0,0,0,1,1,0,0,0,0
"620598",1,0,0,0,0,0,0,1,0,0,1,0,0,0
"621031",1,0,0,1,0,0,1,0,0,1,0,1,0,0
"628160",0,0,0,0,0,0,1,0,0,0,1,0,1,0
"630985",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"638789",1,0,0,1,0,0,1,0,0,0,0,0,0,0
"971360",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"998009",0,0,0,0,0,0,0,0,0,0,0,0,1,1
