"","adventure","destroy_devastate_wreck","move_special_move","solve","attack","rescue","race","fight","fast","shoot","defend","explore","battle"
"605724",1,1,0,0,0,0,0,0,0,0,0,0,0
"620509",0,0,1,1,0,0,0,0,0,0,0,0,0
"627224",0,0,1,0,1,0,0,0,0,0,0,0,0
"627553",0,0,0,0,0,1,1,1,1,0,0,0,0
"634344",0,0,0,0,0,0,0,0,0,1,0,0,0
"640857",0,0,0,0,0,1,0,0,1,0,1,0,0
"935607",1,0,0,0,0,0,0,0,0,0,0,0,0
"954843",0,0,0,0,0,0,0,0,0,0,0,1,0
"997372",1,0,0,0,0,0,0,0,0,0,0,0,0
"997471",0,0,0,0,0,0,0,0,0,1,0,0,1
"998090",1,0,0,0,0,0,0,0,0,0,0,0,0
"998304",1,1,0,0,0,1,0,0,0,0,0,1,0
