"","attack","fight","strategy_tactics","realistic_accurate","team_group_crew_squad","tournament_competition","battle","enemy","defend","shoot","move_special_move","compete"
"927448",1,1,0,0,0,0,0,0,0,0,0,0
"928311",0,0,1,1,1,0,0,0,0,0,0,0
"930953",0,0,0,0,0,1,0,0,0,0,0,0
"932164",0,0,0,1,1,1,0,0,0,0,0,0
"932196",0,0,0,1,0,1,1,1,0,0,0,0
"932867",0,0,0,0,0,1,0,0,0,0,0,0
"932932",0,0,0,0,1,0,0,0,0,0,0,0
"933142",1,0,1,0,1,0,0,1,1,1,0,0
"933693",0,0,1,1,1,1,0,1,0,1,1,1
"933709",0,0,0,1,0,0,0,0,0,0,0,0
"935088",0,0,0,1,0,0,0,0,0,0,0,1
"935290",0,0,0,0,1,0,0,0,0,0,0,0
