"","battle","army","attack","city","puzzle","collect_gather","enemy","licensed_content_video_games","dangerous","story","online","multiplayer","magic","strategy_tactics"
"611752",1,1,1,1,1,1,1,0,0,0,0,0,0,0
"708479",0,0,0,0,0,0,1,1,1,1,1,0,0,0
"998291",1,0,0,0,0,0,0,0,0,0,1,1,1,1
