"","shoot","enemy","move_special_move","online","level_stage","fight","epic","race","defeat","fast","battle","realistic_accurate","hero","compete","story","attack","horde_wave_mass","defend","weapon","the_earth"
"605243",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605791",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960419",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960530",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"984778",0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"986132",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"991148",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"991402",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"991483",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"991497",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997631",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997664",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
