"","realistic_accurate","career","athlete","athlete_name","school","team_group_crew_squad","cricket_field","baseball","crowd_audience_spectators","cheer_applaude","tournament_competition","drama","contest_match","arena_stadium","famous","captain_team","licensed_tournament","win","sports","country_nation"
"726154",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"737969",1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
"761141",1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
