"","grid","symbol_icon","army","x3d","city","turn_alternate","puzzle","death","money","enemy","territory","family","demon_devil","minion","girl_woman","underground","famous","nobility_lord_count_baron","playing_cards","dangerous","story","deception_trickery","monk_priest_devotee","soldier","warrior","ghost","magic","eccentric","skeleton_skull","scary_terrifying_horror","samurai","heaven","animal","lush"
"611752",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687861",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708479",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"998291",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
