"","hostile_aggressive","escape","hit_strike_blow","armor","survive","building_structure","explode_blast","level_stage","underground","avoid","capture","kill","bomb","enemy","battle","human_race_mankind","ground_on_land","fight","destroy_devastate_wreck","weapon","dangerous","smash","find","climb","build_construct","machine","mystery"
"929921",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"936124",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
