"","reading","comedy_humor_funny","emotion","fantasy","happy_upbeat_cheerful","teaching","book","life","all_ages","lively_vibrant_colorful","level_stage","explore","social","help_support","puzzle","monster","dream","chase_pursue","witness","city","suspect","criminal","mystery","find","trade","history","hollywood","discover_reveal","clue","battle","truth","search","interview_interrogate","conspiracy","drugs_contraband","action","corrupt","burn_ignite","brutal_violent_cruel","kill"
"622897",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
