"","comedy_humor_funny","explore","create_design","dream","strategy_tactics","climb","the_earth","defeat","chaos","enemy","fight","cooperate","soldier","stop","command_lead","kill","team_group_crew_squad","find","threat","destroy_devastate_wreck","rescue","destination_finish_line","tower","battle","alliance","conspiracy","mystery"
"714467",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"785539",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
