"","american_football","licensed_tournament","ball","aim","throw","athlete","celebrity_star_idol","realistic_accurate","movie_film","attack","licensed_content_video_games","elite_the_best","basketball","contest_match","simulation","music","home","train_practice","mini_game","coach","team_group_crew_squad","tournament_competition","online","compete","multiplayer","strategy_tactics","global_international_around_the_world","famous","skill_technique","soccer","defend","conquer","manage","shot_sports","exercise_fitness","decide_choose"
"927449",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928263",0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928333",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"928412",0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"928463",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
