"","battle","rescue","defeat","fight","combat","race","attack","strategy_tactics","move_special_move","defend","adventure","collect_gather","mission"
"609164",1,0,0,0,0,0,0,0,0,0,0,0,0
"610420",1,1,1,1,0,0,0,0,0,0,0,0,0
"946604",0,0,0,0,1,0,0,0,0,0,0,0,0
"954476",1,0,0,1,1,1,1,0,0,0,0,0,0
"954479",0,1,0,1,0,0,0,0,0,0,0,0,0
"961301",1,0,0,1,0,0,0,1,0,0,0,0,0
"961764",0,0,1,0,0,0,0,0,0,0,0,0,0
"968937",0,0,0,1,0,0,1,0,1,1,0,0,0
"972632",1,0,0,0,0,0,0,0,0,0,0,0,0
"974378",1,0,0,0,0,0,1,0,0,0,0,0,0
"976861",0,0,0,0,0,0,0,0,0,1,0,0,0
"984915",1,0,0,1,0,0,0,0,0,0,1,1,0
"991323",1,0,0,0,0,0,0,0,0,0,0,0,1
