"","athlete","basketball","contest_match","music","home","train_practice","mini_game","coach","team_group_crew_squad","tournament_competition","manage","shot_sports","realistic_accurate","exercise_fitness","decide_choose","strategy_tactics"
"928263",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"928463",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
