"","police","traffic","city","road","shortcut","vehicle","escape","famous","grow","ban_blacklist","destroy_devastate_wreck","racetrack","collect_gather","global_international_around_the_world","career","race","licensed","car"
"927143",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"927245",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
