"","weapon","mission","explore","discover_reveal","realistic_accurate","war","battle","team_group_crew_squad","strategy_tactics","enemy","attack","defeat","story","dangerous","destroy_devastate_wreck","human_race_mankind","rescue","horde_wave_mass","shoot","level_stage","evil"
"516508",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927725",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"928233",1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"930740",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"930762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"930847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"930851",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
