"","level_stage","explore","puzzle","adventure","rescue","city","mystery","discover_reveal","battle","action"
"622897",1,1,1,0,0,0,0,0,0,0
"640910",0,0,0,1,1,0,0,0,0,0
"988983",0,0,0,0,0,1,1,1,1,1
