"","realistic_accurate","attack","team_group_crew_squad","tournament_competition","compete","strategy_tactics","defend"
"927449",1,1,0,0,0,0,0
"928263",0,0,1,1,0,0,0
"928333",1,0,0,1,1,1,0
"928412",0,1,0,0,0,0,1
"928463",1,0,1,0,0,1,0
