"","quest","level_stage","myth_legend","search","mystery","treasure","boat","solve","explore","trap","classic","rescue","enemy","puzzle","fight","dangerous","threat","travel","the_earth","wild_land_animal","underwater_animal","wilderness_nature","animal","arctic_frozen_icy","survive"
"938681",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939484",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"941832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
