"","licensed_tournament","tournament_competition","realistic_accurate","coach","team_group_crew_squad","school","athlete","celebrity_star_idol","contest_match","country_nation","drama","enemy","arena_stadium","sports","elite_the_best","athlete_name","soccer","exotic","powerup_pickup","road"
"616326",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624639",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"625123",1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"626302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627288",1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"627462",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"630498",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"632493",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
