"","tournament_competition","shot_sports","elite_the_best","fantasy","licensed","battle","golf","bike_motorbike","customize","money","classic","stunt","equipment","story","famous","mountain","skill_technique","clear_away","challenge"
"928262",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"928296",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
"928316",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
"930852",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
