"","fast","race","battle","explore","collect_gather","shoot","defeat","rescue","fight","defend","mission","solve","strategy_tactics","compete","attack","combat","destroy_devastate_wreck","adventure"
"933025",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942166",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942780",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"943783",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"944011",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"944032",0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"944155",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"947967",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"950928",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"952592",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"953911",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"954725",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"955160",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955442",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"956855",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"957996",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958042",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"958051",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"958286",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"958904",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"959073",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"959417",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"959713",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"960205",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"960276",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"960506",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"961241",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"972039",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"973311",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"976128",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"978335",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"978337",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"978900",0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
