"","rescue","destroy_devastate_wreck","combat","defeat","move_special_move","adventure","fight","battle","shoot","attack","solve","explore","race","collect_gather","fast"
"929230",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"935725",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"936477",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"938093",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"939007",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
"939205",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"939329",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"939524",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"939578",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939859",0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"941641",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"943001",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"943780",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"943781",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
