"","battle","place_position","army","confront","attack","city","turn_alternate","puzzle","manage","collect_gather","death","money","enemy","build_construct","territory","match_link_couple","family","demon_devil","girl_woman","underground","famous","journey","hunt","dangerous","story","soldier","warrior","ghost","magic","scary_terrifying_horror","capture","animal"
"611752",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"708479",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"998291",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
