"","compete","enemy","board_game","power_control_rule","magic","singleplayer","creature","x3d","multiplayer","battle","online","conquer","collect_gather","playing_cards","fight","war","win","insane_deranged","team_group_crew_squad","stop","country_nation","survive","resources","kill","strategy_tactics","crazy_wacky","death","water","chaos","turn_alternate","gore_grotesque_foul","insect","mystery","energy_power","weapon"
"930092",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932999",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937709",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
