"","destroy_devastate_wreck","city","rescue","solve","mission","team_group_crew_squad","adventure","defend","fight","action","move_special_move","evil","attack"
"622370",1,1,0,0,0,0,0,0,0,0,0,0,0
"632677",1,0,1,0,0,0,0,0,0,0,0,0,0
"652585",0,0,0,1,0,0,0,0,0,0,0,0,0
"659951",0,0,0,0,1,1,1,0,0,0,0,0,0
"659955",0,0,0,0,0,1,0,1,1,1,1,1,1
