"","battle","quest","strategy_tactics","fight","conquer","command_lead","defeat","hunt","collect_gather","build_construct"
"696378",1,1,1,1,1,1,0,0,0,0
"730638",1,0,0,0,0,0,1,0,0,0
"784567",1,0,0,0,0,0,0,1,1,1
"814418",0,0,0,1,0,0,0,0,0,0
