"","american_football","licensed_tournament","ball","athlete","celebrity_star_idol","realistic_accurate","movie_film","elite_the_best","music","home","coach","team_group_crew_squad","tournament_competition","global_international_around_the_world","famous","basketball"
"927449",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"928263",0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0
"928333",0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0
"928412",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"928463",0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
