"","fight","race","destroy_devastate_wreck","strategy_tactics","fast","combat","compete"
"739660",1,1,0,0,0,0,0
"799987",0,1,1,0,0,0,0
"872798",0,1,0,1,0,0,0
"887306",0,0,0,0,1,1,1
