"","realistic_accurate","move_special_move","fight","fast","dangerous","story","team_group_crew_squad","action","combat","race","compete","tournament_competition","level_stage","strategy_tactics","attack"
"606290",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"615810",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"632147",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"632378",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"639691",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"645152",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"652995",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"663204",0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
"672341",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"679855",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
